Address,Latitude,Longitude,Type
6061 Bayfield Pkwy Concord,35.4197888,-80.675237,ChickFilA
9010 Albemarle Rd Charlotte,35.2111176,-80.6909664,ChickFilA
1110 Beaver Creek Commons Dr Apex,35.7460615,-78.8741136,ChickFilA
Stadium Dr Trivette Hall ,36.2133345,-81.6836134,ChickFilA
3117 Pineville Matthews Rd Charlotte,35.0988445,-80.7813408,ChickFilA
1212 E Dixie Dr Asheboro,35.6959368,-79.7898125,ChickFilA
3 S Tunnel Rd Asheville,35.5822695,-82.526029,ChickFilA
101 S Tryon St Ste 9 ,35.2264868,-80.8427089,ChickFilA
801 Park St Belmont,35.2557394,-81.0274374,ChickFilA
10001 Rea Rd Charlotte,35.033007,-80.8048381,ChickFilA
2082 Blowing Rock Rd Boone,36.1960685,-81.6545978,ChickFilA
3703 Battleground Ave Greensboro,36.1306287,-79.8556098,ChickFilA
8901 Brier Creek Pkwy Raleigh,35.9010596,-78.7905822,ChickFilA
2000 Cameron St Raleigh,35.7912504,-78.6590658,ChickFilA
85 Main Street Britt Hall ,35.4080764,-78.7386788,ChickFilA
4621 Capital Blvd Raleigh,35.8474928,-78.5812109,ChickFilA
1480 Concord Pkwy N Concord,35.4401015,-80.6038977,ChickFilA
9801 South Blvd Charlotte,35.1048283,-80.8797842,ChickFilA
11025 Carolina Place Pkwy Ste Fc10 Pineville,35.0823694,-80.877223,ChickFilA
1001 Blythe Blvd Charlotte,35.2049751,-80.8389033,ChickFilA
14523 Carowinds Blvd Charlotte,35.103266,-80.9437117,ChickFilA
1105 Walnut St Ste FC-7 Cary,35.7735964,-78.7622163,ChickFilA
5501 Birmingham Parkway Charlotte,35.2205594,-80.9438737,ChickFilA
2551 Lewisville Clemmons Rd Clemmons,36.0289267,-80.3818274,ChickFilA
2001 E Dixon Blvd Ste 38 Shelby,35.2691593,-81.483506,ChickFilA
1332 Jeffreys Rd Rocky Mount,35.9768135,-77.8098373,ChickFilA
985 Concord Pkwy S Concord,35.3911206,-80.624865,ChickFilA
8020 Concord Mills Blvd Concord,35.3717753,-80.7174137,ChickFilA
1475 Concord Pkwy N Concord,35.4382607,-80.6058482,ChickFilA
4431 Randolph Rd Charlotte,35.1772037,-80.7990618,ChickFilA
4325 Glenwood Ave Ste 2040 Raleigh,35.8397649,-78.6792297,ChickFilA
419 Cross Creek Mall Fayetteville,35.0720746,-78.9606699,ChickFilA
1815 Walnut St Cary,35.7600223,-78.7423735,ChickFilA
8433 Davis Lake Pkwy Charlotte,35.3335771,-80.813253,ChickFilA
7267 Highway 73 Denver,35.4485818,-81.0002077,ChickFilA
400 Fayetteville St Raleigh,35.7754554,-78.6396877,ChickFilA
S Food Ct Flowers Drive ,40.7674961,-96.6713298,ChickFilA
1540 E Woodlawn Rd Charlotte,35.1716378,-80.8499093,ChickFilA
3855 John Gordon Ln High Point,36.0347572,-79.9633195,ChickFilA
1706 W Ehringhaus St Elizabeth City,36.2922963,-76.2478667,ChickFilA
100 Campus Dr Elon College,36.1048942,-79.5045112,ChickFilA
1477 University Dr Burlington,36.067018,-79.5190009,ChickFilA
6701 Falls of Neuse Rd Raleigh,35.8753749,-78.6239733,ChickFilA
1200 Murchison Rd Student Center,35.0738649,-78.9197261,ChickFilA
348 Four Seasons Town Ctr Greensboro,36.039205,-79.8402407,ChickFilA
3350 E Franklin Blvd Gastonia,35.2588376,-81.1201678,ChickFilA
611 Pembroke Rd Greensboro,36.0844014,-79.8336573,ChickFilA
1460 N Main St Fuquay Varina,35.593803,-78.7677661,ChickFilA
100 S Main St Dover Campus Center ,35.248755,-81.667955,ChickFilA
2720 Timber Dr Garner,35.7170775,-78.6376352,ChickFilA
2710 Koury Blvd Greensboro,36.0408394,-79.8444236,ChickFilA
800 W Trade St Charlotte,35.233923,-80.8501471,ChickFilA
1201 N Berkeley Blvd Goldsboro,35.3814226,-77.9321664,ChickFilA
714 Greenville Blvd Se Ste F7 Greenville,35.5862772,-77.367973,ChickFilA
5901 W Friendly Ave Greensboro,36.0895677,-79.8903597,ChickFilA
3320 Silas Creek Pkwy Ste FC7 Winston Salem,36.0678305,-80.3006136,ChickFilA
924 Hanes Mall Blvd Winston Salem,36.065068,-80.3123854,ChickFilA
1803 N Harrison Ave Cary,35.8292711,-78.7697804,ChickFilA
200 Trade St Henderson,36.3361384,-78.43858,ChickFilA
52 Highlands Square Dr Hendersonville,35.3470028,-82.4336762,ChickFilA
2700 N Main St High Point,35.9934336,-80.0297608,ChickFilA
833 Montlieu Ave High Point,35.971217,-79.9969314,ChickFilA
3429 Hillsborough Rd Durham,36.0191742,-78.94701,ChickFilA
801 Village Walk Dr Holly Springs,35.6393439,-78.8349269,ChickFilA
3102 Garden Rd Burlington,36.0692716,-79.4969056,ChickFilA
3500 Oleander Dr Ste Fc2 Wilmington,34.213237,-77.9073967,ChickFilA
13801 E Independence Blvd Indian Trail,35.0838,-80.6617524,ChickFilA
306 Jacksonville Mall Jacksonville,34.7654012,-77.3810796,ChickFilA
304B Western Blvd Jacksonville,34.7603882,-77.3816306,ChickFilA
1110 S Main St Kernersville,36.1076102,-80.1002378,ChickFilA
4499 Us Highway 70 W Kinston,35.260444,-77.6529027,ChickFilA
6711 Knightdale Blvd Knightdale,35.7977315,-78.5045387,ChickFilA
3770 Lake Boone Trl Raleigh,35.8160696,-78.6928979,ChickFilA
16915 Statesville Rd Huntersville,35.4449491,-80.8667072,ChickFilA
75 Plaza Pkwy Lexington,35.783058,-80.2559159,ChickFilA
1904 E Main St Lincolnton,35.477732,-81.226273,ChickFilA
230 Jackson Ct Lumberton,34.6665863,-79.0062946,ChickFilA
5123 Market St Wilmington,34.2449745,-77.8791108,ChickFilA
9905 Matthews Park Dr PO Box 3364 ,35.1323811,-80.712151,ChickFilA
6891 Swan Mill Rd Wilmington,34.2374517,-77.8291679,ChickFilA
170 Merrimon Ave Asheville,35.6048313,-82.5536458,ChickFilA
5400 Ramsey St Berns Student Center ,35.13441,-78.872149,ChickFilA
5106 S College Rd Wilmington,34.146391,-77.8930412,ChickFilA
2592 W Roosevelt Blvd Monroe,35.0162033,-80.5712945,ChickFilA
2115 W Roosevelt Blvd Ste 105 Monroe,35.0045337,-80.5594912,ChickFilA
457 River Hwy Mooresville,35.5936664,-80.8623835,ChickFilA
5156 Hwy 70 W Morehead City,34.7385,-76.8085997,ChickFilA
1006 Burkemont Ave Morganton,35.721985,-81.6945135,ChickFilA
2007 Rockford St Mount Airy,36.4811309,-80.6145006,ChickFilA
9731 Callabridge Ct Charlotte,35.3268723,-80.9447483,ChickFilA
1601 E Market St Dining Services ,36.074141,-79.7749033,ChickFilA
3000 Dr M L King Jr Blvd New Bern,35.103408,-77.0895757,ChickFilA
2600 Founders Dr Raleigh,35.7877611,-78.6705901,ChickFilA
4154 Main at North Hills St Suite 114 ,35.8369941,-78.6420454,ChickFilA
6801 Northlake Mall Dr Ste FC201 Charlotte,35.352244,-80.8529377,ChickFilA
8411 Northlake Commons Blvd Charlotte,35.3496992,-80.856417,ChickFilA
3389 Oleander Dr Wilmington,34.2172536,-77.9059208,ChickFilA
7107 Okelly Chapel Rd Cary,35.8453997,-78.8873133,ChickFilA
1925 N Peace Haven Rd Winston Salem,36.1177849,-80.3128624,ChickFilA
3343 Sides Branch Rd Winston Salem,36.0313244,-80.2612023,ChickFilA
195 Porters Neck Rd Wilmington,34.3012104,-77.7893242,ChickFilA
2727 Raeford Rd Fayetteville,35.0449973,-78.9238076,ChickFilA
4611 Ramsey St Fayetteville,35.1241151,-78.8801278,ChickFilA
425 Randolph Mall Asheboro,35.702184,-79.786813,ChickFilA
7836 Leonardo Dr Durham,35.9015657,-78.9578359,ChickFilA
104 Residence Inn Blvd Durham,35.9030674,-78.8977562,ChickFilA
14111 Rivergate Pkwy Charlotte,35.1038851,-80.9847547,ChickFilA
280 Premier Blvd Roanoke Rapids,36.4252934,-77.6321562,ChickFilA
3912 N Roxboro St Durham,36.0424182,-78.8993396,ChickFilA
3224 NC Highway 87 S Sanford,35.4456862,-79.1298707,ChickFilA
719 E Dixon Blvd Shelby,35.2745474,-81.5279713,ChickFilA
8661 Six Forks Rd Raleigh,35.8982284,-78.6513761,ChickFilA
1921 Skibo Rd Fayetteville,35.0668774,-78.9663633,ChickFilA
116 Wilkesboro Blvd SE Lenoir,35.9131711,-81.5248894,ChickFilA
1300 N Brightleaf Blvd Smithfield,35.5196812,-78.3101378,ChickFilA
1832 Hendersonville Rd Asheville,35.5051483,-82.5241959,ChickFilA
3015 South Blvd Charlotte,35.1981219,-80.8680471,ChickFilA
