addressLine,latitude,longitude
3408 Poole Road,35.768348,-78.579871
1599 US Highway 70 W,35.72511,-78.64879
4040 Capital Blvd.,35.83612,-78.58143
5434 Six Forks Rd,35.85553,-78.641441
6405 Falls Of Neuse Rd.,35.870478,-78.621778
7040 Highway 64  E.,35.79836,-78.4939
1011 N Harrison Ave,35.803464,-78.783392
809 Airport Blvd.,35.856373,-78.824771
11657 Highway 70 West,35.654304,-78.474698
5530 North Carolina Highway 42,35.605432,-78.567717
1403 West Williams Blvd,35.75007,-78.87683
7112 G. B. Alford Highway,35.635926,-78.830916
12313 Capital Blvd.,35.98267,-78.53905
1804 South Miami Blvd.,35.945548,-78.838428
161 Wakelon Drive,35.833469,-78.314827
12300 State Highway 210,35.517081,-78.561932
1110 W. NC 54,35.91988,-78.957413
806 Fayetteville Street,35.98549,-78.89902
511 Horton Rd.,36.05094,-78.90371
3570 Hillsborough Rd,36.022476,-78.952669
1544 Highway 56,36.146052,-78.723997
406 U.S. Highway 70 East,35.520531,-78.293058
207 S. Bickett Boulevard,36.092918,-78.298395
63 Lowes Drive,35.745873,-79.166797
1192 W. Broad Street,35.316309,-78.626255
353 S. Churton Street,36.06047,-79.102663
527 East Industry Drive,36.298375,-78.584702
704 Horner Boulevard,35.47178,-79.17424
1870 Tarboro Street  W.,35.719794,-77.948897
130 Raleigh Road,36.321217,-78.411287
1553 Dabney Drive,36.332774,-78.435845
901 Highway 301,35.72121,-77.892908
1738 S NC Highway 119,36.067699,-79.300087
895 NC Highway 24-87,35.261956,-79.047169
2180 Durham Road,36.364802,-78.983245
1702 East 11th Street,35.7332,-79.439505
700 East Ash Street,35.382619,-77.985983
2108 Stone Rose Avenue,35.960243,-77.820895
214 North Berkeley Boulevard,35.37258,-77.949394
3613 Ramsey Street,35.11,-78.87883
1820 N. Church Street,36.095758,-79.406942
2304 Maple Avenue,36.067226,-79.427569
Intersection of Reilly & Gruber Rd.  H-3602,35.12338,-78.99461
1120 Fairview Road,35.94312,-77.77576
103 Highway 55 West,35.212084,-78.064645
1207 Bragg Boulevard,35.066431,-78.899412
665 Huffman Mill Road,36.07304,-79.49244
5077 Morganton Road,35.069486,-78.962593
3002 Raeford Road,35.044859,-78.929109
680 S. Reilly Road,35.06466,-79.01366
2849 Owen Drive,35.0185,-78.903
2500 Hope Mills Road,35.0046,-78.9669
1112 Sunset Avenue,34.993125,-78.342852
9505 Cliffdale Road,35.03089,-79.061333
5080 NC Highway 87 South,34.929661,-78.854824
2715 W. NC Highway 24,34.993095,-78.139918
706 Western Boulevard,35.89383,-77.55283
1704 N. Sandhills Blvd.,35.155616,-79.414355
1668 Blowing Rock Road,36.199879,-81.660214
51 Beaver Creek School Rd,36.380111,-81.486625
485 South Shady Street,36.470528,-81.806474
428 Blowing Rock Road,35.92113,-81.52464
1900 Addison Ave,36.149722,-81.195487
640 Main Street,35.841668,-81.490234
12358 Highway 226 South,35.887599,-82.064574
207 Broad Street,36.350609,-82.222615
324 Carbon City Rd,35.735199,-81.726601
24 Liledoun Road,35.921711,-81.186403
1219 Burkemont Avenue,35.716528,-81.695411
311 Highway 70 East,35.716057,-81.408214
5548 Highway 11 East,36.437089,-82.305121
1900 12th Avenue  NE,35.74277,-81.30054
2037 Lee Highway,36.624695,-82.160122
1920 N. Roan Street,36.338534,-82.373407
1110 Highway 70  W.,35.705683,-82.033968
1213 North Main Street,36.159203,-82.400926
3334 South Highway 226,35.658318,-81.964075
2805 Northwest Boulevard,35.694757,-81.226446
798 N. Main Street,36.839559,-81.507816
1485 N. Bridge Street,36.270874,-80.853795
2401 Ft. Henry Drive,36.524862,-82.519347
23 Elliott Street,36.902339,-82.046211
1005 Glenway Drive,35.809637,-80.873912
1102 Salisbury Road,35.774428,-80.862721
1122 E. Stuart Drive,36.690421,-80.882324
813 Lynn Garden Drive,36.564314,-82.564967
1912 E. Main St.,35.478036,-81.224874
705 South State Street,36.12235,-80.65973
6159 Hwy 16 South,35.55582,-81.063278
1101 East Church Street,35.386099,-81.36509
150 Commonwealth Drive,36.958614,-81.096658
115 College Ave,35.36234,-81.94141
91 Weaver Boulevard,35.704298,-82.567827
2120 Rockford Extension,36.477614,-80.618279
1030 Patton Avenue,35.586327,-82.592454
800 Fairview Road,35.56941,-82.506661
1860 Hendersonville Road,35.500137,-82.521381
24 New Clyde Highway,35.533022,-82.855703
1903 Four Seasons Boulevard,35.337006,-82.444834
667 Russ Avenue,35.502023,-82.989354
30 Shuford Road,35.243577,-82.208629
131 Bethany Church Road,35.317251,-81.881205
1735 East Andrew Johnson Highway,36.177696,-82.792561
805 Cosby Highway,35.95154,-83.200529
22 Nickeh Dr,35.477431,-83.320968
